,zip1,zip2,#people_visit
815,10004,11210,5
816,10004,11211,15
817,10004,11212,3
818,10004,11213,3
819,10004,11214,7
820,10004,11215,9
821,10004,11216,4
822,10004,11217,13
823,10004,11218,4
824,10004,11219,1
825,10004,11220,6
826,10004,11221,5
827,10004,11222,6
828,10004,11223,2
829,10004,11224,1
831,10004,11226,10
833,10004,11229,5
834,10004,11230,1
835,10004,11231,7
836,10004,11232,6
837,10004,11233,2
838,10004,11234,6
839,10004,11235,5
840,10004,11236,4
842,10004,11238,8
843,10004,11239,4
844,10004,11251,1
845,10004,11354,3
846,10004,11355,5
848,10004,11357,2
849,10004,11358,1
851,10004,11360,3
852,10004,11361,3
853,10004,11362,4
854,10004,11363,1
855,10004,11364,2
856,10004,11365,6
857,10004,11366,1
858,10004,11367,3
859,10004,11368,5
860,10004,11369,3
861,10004,11370,2
862,10004,11371,5
863,10004,11372,4
864,10004,11373,4
865,10004,11374,4
866,10004,11375,7
867,10004,11377,7
868,10004,11378,4
869,10004,11379,2
870,10004,11385,5
873,10004,11413,2
874,10004,11414,5
875,10004,11415,4
877,10004,11417,3
879,10004,11419,3
880,10004,11420,3
882,10004,11422,1
883,10004,11423,1
884,10004,11426,3
885,10004,11427,1
886,10004,11428,1
887,10004,11429,1
888,10004,11430,7
889,10004,11432,4
890,10004,11433,2
891,10004,11434,2
892,10004,11435,3
893,10004,11436,3
894,10004,11691,2
898,10004,11697,1
899,10005,10005,31
900,10005,10006,5
901,10005,10007,33
902,10005,10009,6
903,10005,10010,8
904,10005,10011,16
905,10005,10012,15
906,10005,10013,16
907,10005,10014,14
908,10005,10016,12
909,10005,10017,7
910,10005,10018,12
911,10005,10019,23
912,10005,10020,11
913,10005,10021,6
914,10005,10022,12
915,10005,10023,10
916,10005,10024,4
917,10005,10025,4
918,10005,10026,1
919,10005,10027,5
920,10005,10028,8
921,10005,10029,5
922,10005,10030,1
923,10005,10031,4
924,10005,10032,4
925,10005,10033,2
926,10005,10034,1
927,10005,10035,4
928,10005,10036,22
929,10005,10037,2
930,10005,10038,17
931,10005,10039,3
932,10005,10040,3
934,10005,10044,2
935,10005,10048,15
936,10005,10069,1
940,10005,10104,1
943,10005,10107,1
945,10005,10111,1
948,10005,10118,3
949,10005,10119,1
950,10005,10120,2
954,10005,10128,4
957,10005,10153,1
969,10005,10203,1
970,10005,10259,2
971,10005,10260,8
972,10005,10265,4
973,10005,10270,1
974,10005,10275,1
978,10005,10281,5
979,10005,10282,3
980,10005,10285,1
983,10005,10303,2
984,10005,10304,1
985,10005,10305,4
986,10005,10306,5
987,10005,10307,1
989,10005,10309,1
990,10005,10310,3
992,10005,10314,4
993,10005,10451,2
994,10005,10452,2
995,10005,10453,2
996,10005,10454,2
997,10005,10455,1
999,10005,10457,2
1000,10005,10458,3
1001,10005,10459,3
1002,10005,10460,2
1003,10005,10461,4
