,zip1,zip2,#people_visit
1017,10005,11205,2
1018,10005,11206,4
1020,10005,11208,1
1021,10005,11209,4
1022,10005,11210,2
1023,10005,11211,6
1024,10005,11212,2
1025,10005,11213,1
1026,10005,11214,3
1027,10005,11215,5
1028,10005,11216,3
1029,10005,11217,4
1030,10005,11218,2
1031,10005,11219,3
1032,10005,11220,2
1033,10005,11221,2
1034,10005,11222,4
1035,10005,11223,2
1036,10005,11224,5
1037,10005,11225,2
1038,10005,11226,7
1040,10005,11229,2
1041,10005,11230,3
1042,10005,11231,4
1043,10005,11232,3
1044,10005,11233,3
1045,10005,11234,3
1046,10005,11235,4
1047,10005,11236,4
1048,10005,11237,2
1049,10005,11238,2
1050,10005,11239,2
1052,10005,11354,2
1053,10005,11355,2
1054,10005,11356,2
1059,10005,11361,3
1060,10005,11362,2
1062,10005,11364,2
1063,10005,11365,3
1064,10005,11366,3
1065,10005,11367,3
1066,10005,11368,2
1067,10005,11369,2
1068,10005,11370,3
1069,10005,11371,2
1070,10005,11372,3
1071,10005,11373,4
1072,10005,11374,3
1073,10005,11375,5
1074,10005,11377,3
1075,10005,11378,2
1077,10005,11385,2
1081,10005,11414,2
1082,10005,11415,2
1083,10005,11416,1
1085,10005,11418,1
1092,10005,11427,1
1094,10005,11429,2
1095,10005,11430,4
1096,10005,11432,4
1097,10005,11433,3
1098,10005,11434,2
1099,10005,11435,3
1100,10005,11436,2
1101,10005,11691,1
1103,10005,11693,2
1106,10006,10006,25
1107,10006,10007,17
1108,10006,10009,5
1109,10006,10010,9
1110,10006,10011,10
1111,10006,10012,9
1112,10006,10013,13
1113,10006,10014,13
1114,10006,10016,5
1115,10006,10017,11
1116,10006,10018,7
1117,10006,10019,8
1118,10006,10020,10
1119,10006,10021,5
1120,10006,10022,7
1121,10006,10023,8
1122,10006,10024,5
1123,10006,10025,4
1124,10006,10026,1
1125,10006,10027,4
1126,10006,10028,2
1127,10006,10029,4
1128,10006,10030,2
1129,10006,10031,3
1130,10006,10032,3
1131,10006,10033,4
1132,10006,10034,2
1133,10006,10035,2
1134,10006,10036,18
1135,10006,10037,2
1136,10006,10038,10
1137,10006,10039,3
1138,10006,10040,2
1140,10006,10044,4
1142,10006,10048,16
1152,10006,10118,1
1153,10006,10119,1
1154,10006,10120,2
1157,10006,10128,5
1168,10006,10174,1
1175,10006,10270,1
1178,10006,10279,1
1179,10006,10280,3
1180,10006,10281,7
1184,10006,10301,5
1186,10006,10303,2
1187,10006,10304,2
1188,10006,10305,3
1189,10006,10306,2
1190,10006,10307,1
1192,10006,10309,3
1193,10006,10310,2
1194,10006,10312,1
1195,10006,10314,4
1196,10006,10451,3
1197,10006,10452,2
1198,10006,10453,1
1199,10006,10454,2
1202,10006,10457,2
1203,10006,10458,2
1204,10006,10459,2
1205,10006,10460,3
1206,10006,10461,3
1207,10006,10462,5
1208,10006,10463,4
1210,10006,10465,2
1211,10006,10466,2
1212,10006,10467,1
1213,10006,10468,2
1215,10006,10470,2
1216,10006,10471,2
1217,10006,10472,4
1218,10006,10473,2
1220,10006,10475,3
1225,10006,11101,8
1226,10006,11102,6
1227,10006,11103,4
1228,10006,11104,1
1229,10006,11105,3
1230,10006,11106,4
1232,10006,11201,10
1234,10006,11204,2
